2025-04-21 00:55:44.241 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x5ec3ceb43ff257301f3226bd9eadac201a8f156d) already exists.
2025-04-21 00:55:44.241 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:44.720 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:44.720 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x3d49311f0acdae71788d98380ad51d54c602607d) already exists.
2025-04-21 00:55:44.720 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:46.821 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:46.821 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc92ed487923df728cb0483f15a686e6b376bd66f) already exists.
2025-04-21 00:55:46.821 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:47.273 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:47.273 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x19a5d60d24cbec3bda1151e22b194098aad0e66b) already exists.
2025-04-21 00:55:47.273 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:49.114 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:49.114 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xdc6ddba805ba679e3f3c9d960b1df119fc7772a2) already exists.
2025-04-21 00:55:49.114 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:49.515 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:49.515 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xa1f27e848af05d4113ceb9b3bd90f553ffe7b5a9) already exists.
2025-04-21 00:55:49.515 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:51.558 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
